0x002152b4,task_AdditionAgent
0x00685c1c,get_self_task_id
0x00686e10,get_task_properties
0x0068a848,RegisterInterruptHandler
0x0068a86c,UnregisterInterruptHandler
0x0068a884,GetSRAndDisableInterrupt
0x0068a888,SetSR
0x0068a8a8,EnableInterrupt
0x0068a8b0,CreateBinarySemaphore
0x0068a918,CreateCountingSemaphore
0x0068a918,CreateCountingSemaphore_FW
0x0068a970,DeleteSemaphore
0x0068a970,DeleteSemaphore_FW
0x0068a9c8,TryTakeSemaphore
0x0068aa1c,TakeSemaphore
0x0068aa1c,TakeSemaphore_FW
0x0068aaec,GiveSemaphore
0x0068aaec,GiveSemaphore_FW
0x0068ab24,GetSemaphoreValue
0x0068ab8c,CreateTask
0x0068ab8c,CreateTask_FW
0x0068ae1c,ExitTask
0x0068ae1c,ExitTask_FW
0x0068af04,CreateTaskStrictly
0x0068af38,CreateMessageQueueStrictly
0x0068af5c,CreateEventFlagStrictly
0x0068af80,CreateBinarySemaphoreStrictly
0x0068afa4,CreateCountingSemaphoreStrictly
0x0068afc8,CreateRecursiveLockStrictly
0x0068afec,TakeSemaphoreStrictly
0x0068b018,ReceiveMessageQueueStrictly
0x0068b044,PostMessageQueueStrictly
0x0068b070,WaitForAnyEventFlagStrictly
0x0068b09c,WaitForAllEventFlagStrictly
0x0068b0c8,AcquireRecursiveLockStrictly
0x0068b104,DebugAssert
0x0068b878,CreateEventFlag
0x0068b8d0,DeleteEventFlag
0x0068b920,CheckAnyEventFlag
0x0068b968,CheckAllEventFlag
0x0068b9b0,WaitForAnyEventFlag
0x0068ba94,WaitForAllEventFlag
0x0068bb54,SetEventFlag
0x0068bb88,ClearEventFlag
0x0068bbc0,GetEventFlagValue
0x0068bcd0,CreateMessageQueue
0x0068bd54,DeleteMessageQueue
0x0068bde4,ReceiveMessageQueue
0x0068beac,TryReceiveMessageQueue
0x0068bf30,PostMessageQueue
0x0068bfe8,TryPostMessageQueue
0x0068c028,GetNumberOfPostedMessages
0x0068c094,CreateRecursiveLock
0x0068c0e4,DeleteRecursiveLock
