0x010c1389,CreateTask_low
0x010c27b1,createsemaphore_low
0x010c2877,givesemaphore_low
0x010c289f,takesemaphore_low
0x010c4fdd,SleepTask
0x010c4fdd,SleepTask_FW
0x010c5075,CreateTask
0x010c5075,CreateTask_FW
0x010c5249,ExitTask
0x010c5249,ExitTask_FW
0x010c5299,CreateEventFlag
0x010c52d1,DeleteEventFlag
0x010c530d,CheckAnyEventFlag
0x010c5343,CheckAllEventFlag
0x010c5379,WaitForAnyEventFlag
0x010c53fb,WaitForAllEventFlag
0x010c547b,SetEventFlag
0x010c54a9,ClearEventFlag
0x010c54d9,GetEventFlagValue
0x010c552d,RegisterInterruptHandler
0x010c5661,CreateMessageQueue
0x010c56c5,DeleteMessageQueue
0x010c5727,ReceiveMessageQueue
0x010c57b3,TryReceiveMessageQueue
0x010c57fd,PostMessageQueue
0x010c587b,TryPostMessageQueue
0x010c58b1,GetNumberOfPostedMessages
0x010c5919,CreateBinarySemaphore
0x010c5965,CreateCountingSemaphore_FW
0x010c599d,DeleteSemaphore
0x010c599d,DeleteSemaphore_FW
0x010c59dd,TryTakeSemaphore
0x010c5a0d,TakeSemaphore
0x010c5a0d,TakeSemaphore_FW
0x010c5a85,GiveSemaphore
0x010c5a85,GiveSemaphore_FW
0x010c5ab5,GetSemaphoreValue
0x010c5b15,CreateTaskStrictly
0x010c5b37,CreateMessageQueueStrictly
0x010c5b51,CreateEventFlagStrictly
0x010c5b6b,CreateBinarySemaphoreStrictly
0x010c5b85,CreateCountingSemaphoreStrictly
0x010c5b9f,CreateRecursiveLockStrictly
0x010c5bb9,TakeSemaphoreStrictly
0x010c5bf1,PostMessageQueueStrictly
0x010c5c0d,WaitForAnyEventFlagStrictly
0x010c5c29,WaitForAllEventFlagStrictly
0x010c5c45,AcquireRecursiveLockStrictly
0x010c5c6d,DebugAssert
0x010c5c83,DebugAssert2
0x010c5f21,time
0x010c5f8b,GetTimeOfSystem_FW
0x010c6281,LocalTime
0x010c7701,CreateRecursiveLock
0x010c7771,AcquireRecursiveLock
0x010c783f,ReleaseRecursiveLock
0x010d094d,j_mktime_ext
0x010d86b8,dry_memcpy
0x010d87a0,bzero
0x010d87a4,memset32
0x010daf58,_log
0x010db478,_log10
0x010db5e0,_pow
0x010dd660,_sqrt
0xfc0205d3,PointDefDetect_FW
0xfc0206d5,MergeAndConvertDefect_FW
0xfc020899,PointKizuCheck_FW
0xfc0208e9,SensDefCrowdCheck_FW
0xfc02090d,CrossDefDetect_FW
0xfc0209bb,CrossPickUpDetect_FW
0xfc020a85,MixPixDetect_FW
0xfc020bd1,GetDefectCrawInfo_FW
0xfc020c23,GetDefectAllResultData_FW
0xfc020c53,GetDefectPartResultData_FW
0xfc020cb1,SetDefectDebugInfo_FW
0xfc020ce5,GetDefectHistgramInfo_FW
0xfc020d03,MarkPointDefData_FW
0xfc020d09,GetDefectTvAdj_FW
0xfc020d6d,SetDefectRecParam_FW
0xfc020e9b,ChangeDefectRecParam_FW
0xfc020eab,ExecuteDefectRec_FW
0xfc020ed5,ExecuteDefectRecAndSaveImage_FW
0xfc020f27,ExecuteDefectRecWithGrade_FW
0xfc020f55,ExecuteDefectRecAndSaveImageWithGrade_FW
0xfc020fa9,InitializeDefectRec_FW
0xfc020fbb,TerminateDefectRec_FW
0xfc020fc5,MakeDefectTurnTable_FW
0xfc020feb,ClearDefectTurnTable_FW
0xfc020ff5,GetDefectTurnTableParam_FW
0xfc02104d,EngDrvOut_FW
0xfc02105d,EngDrvIn_FW
0xfc021063,EngDrvRead_FW
0xfc021069,EngDrvBits_FW
0xfc02107b,EngDrvReadDump_FW
0xfc0211e9,ShowTransparentMemory_FW
0xfc0211fd,DumpTransparentMemoryItem_FW
0xfc021221,AddTransparentMemory_FW
0xfc02123f,AttachToTransparentMemory_FW
0xfc02125d,RemoveTransparentMemory_FW
0xfc02126f,GetTransparentMemorySize_FW
0xfc02127b,GetTransparentMemory_FW
0xfc02129d,GetTransparentMemoryPosition_FW
0xfc021541,InitializeSoundRec_FW
0xfc021571,TerminateSoundRec_FW
0xfc02158b,j_InitializeSoundRec_FW
0xfc02158d,j_TerminateSoundRec_FW
0xfc02158f,StartSoundRecord_FW
0xfc0215a7,StartSoundPlay_FW
0xfc02178d,InitializeFAGeneralTest_FW
0xfc021797,TerminateFAGeneralTest_FW
0xfc0217a3,InitializeFAExtendFile_FW
0xfc0217ab,TerminateFAExtendFile_FW
0xfc0255a9,NR_SetDoubleNRType_FW
0xfc05d581,task_Startup
0xfc05e71d,task_UartLog
0xfc05e88d,StartRedirectUART_FW
0xfc05e92d,StopRedirectUART_FW
0xfc0611c9,task_FileScheduleTask
0xfc062c97,task_ReadScheduleTask
0xfc0640ad,task_FileWrite
0xfc0640ad,task_FileWriteTask
0xfc067aad,j_StartCameraLog_FW
0xfc067ab1,j_ShowCameraLog_FW
0xfc067ab5,j_ShowCameraLogInfo_FW
0xfc067ab9,j_StopCameraLog_FW
0xfc067abd,j_PutsCameraLogEvent_FW
0xfc067ac1,OpLog.Create_FW
0xfc067b13,j_NewTaskShell_FW
0xfc067b17,j_ExMem.View_FW
0xfc067b1b,j_ExMem.AllocUncacheable_FW
0xfc067b1f,j_ExMem.FreeUncacheable_FW
0xfc067b23,j_ExMem.AllocCacheable_FW
0xfc067b27,j_ExMem.FreeCacheable_FW
